OID_,Dam_Num,Area_m2,Shape_Area
256,5284,670.627284553999971,670.627284554465859
257,5285,1254.987301489999936,1254.987301486110709
258,5290,1046.499412870000015,1046.499412869234447
259,5291,1642.572271770000043,1642.572271773562306
260,5292,8365.953358369999478,8365.953358369728448
261,5293,11602.895723199999338,11602.895723180579807
262,5294,1015.983916450000038,1015.983916452092217
263,5295,2965.509852690000116,2965.509852692169716
264,5296,2794.144871800000146,2794.144871799551311
265,5297,1041.959041459999980,1041.959041458286947
266,5298,2157.199819070000103,2157.199819070181547
267,5299,133.310223602999997,133.310223603045813
268,5300,1279.293129720000024,1279.293129716909334
269,5301,281.024899979999986,281.024899979944394
270,5302,1190.203502450000087,1190.203502450951873
271,5303,885.254816218999963,885.254816219289637
272,5304,690.251782292000030,690.251782292497978
273,5305,1366.394698060000110,1366.394698062109683
274,5306,640.944647856999950,640.944647856950382
275,5307,1179.862049889999980,1179.862049893127278
276,5308,679.628040950000013,679.628040949572437
277,5309,175.361165526999997,175.361165526588366
278,5310,395.620457595000005,395.620457595438040
279,5311,372.627875252000024,372.627875252313743
280,5312,511.456244861000016,511.456244861039465
281,5313,814.326495028999943,814.326495028648083
282,5314,1959.870993660000067,1959.870993658409361
283,5315,1675.019642210000029,1675.019642210169650
284,5316,2465.168587520000074,2465.168587521603513
285,5317,492.871515483999985,492.871515483633061
286,5318,518.308497889000023,518.308497888670900
287,5319,311.529728530000000,311.529728530259490
288,5320,1883.759635469999921,1883.759635467664339
289,5321,3583.413329429999976,3583.413329427390636
290,5322,1558.012839590000112,1558.012839589868236
291,5323,974.915298929999949,974.915298929773030
292,5324,15823.363397999999506,15823.363397974328109
293,5325,80.267552451800000,80.267552451815106
294,5326,400.695656182999983,400.695656183428582
295,5327,418.250340058000006,418.250340058426957
296,5328,140.046637175000001,140.046637174717745
297,5329,226.699160983000013,226.699160982502576
298,5330,2590.340342750000218,2590.340342754757330
299,5331,3140.834980720000203,3140.834980717457711
300,5332,2423.236879149999822,2423.236879151212634
301,5333,1966.270345260000113,1966.270345263930494
302,5334,1397.369280710000112,1397.369280708682254
303,5335,985.232863923999957,985.232863924442086
304,5336,683.467967512999962,683.467967513237454
305,5337,1648.992864269999927,1648.992864269872371
306,5338,4401.305353280000418,4401.305353280766212
307,5339,1745.648322069999949,1745.648322070553832
308,5340,273.107142483000018,273.107142483478697
309,5341,297.738292192000017,297.738292191882920
310,5342,139.867125687999987,139.867125688288894
311,5343,676.930657665000012,676.930657665169065
312,5344,15396.386305800000628,15396.386305823189105
313,5345,1794.135978699999896,1794.135978702308421
314,5346,236.855868503000011,236.855868502878423
315,5347,113.847547688999995,113.847547688884546
316,5348,315.490044974000000,315.490044974088335
317,5349,128.102680996999993,128.102680996940705
318,5350,2847.961804909999955,2847.961804909934017
319,5351,126.272076032000001,126.272076032079568
320,5352,1754.439561160000039,1754.439561157575326
321,5353,503.449332636999998,503.449332636869656
322,5354,351.268046414000025,351.268046413798174
323,5355,3258.711229290000119,3258.711229290516712
324,5356,266312.701766000012867,266312.701765626785345
325,5357,104.951337469999999,104.951337470287285
326,5358,1547.365140249999968,1547.365140246155534
327,5359,583.040113087000009,583.040113086897463
328,5360,3335.123582300000180,3335.123582296133463
329,5362,670.731437226000025,670.731437226133266
330,5361,331.136131384000009,331.136131383875920
331,5363,2765.981457930000033,2765.981457930759007
332,5364,501.132401986999980,501.132401986775790
333,5365,25374.801890899998398,25374.801890917515266
334,5366,891.772268463000046,891.772268462702186
335,5367,369.043020704000014,369.043020703935042
336,5368,467.091073718000018,467.091073718459370
337,5369,758.727012371999990,758.727012372494073
338,5370,2289.446645429999990,2289.446645433010872
339,5371,3345.719864489999964,3345.719864486731240
340,5372,825.336286621999989,825.336286621787167
341,5373,15519.638110899999447,15519.638110936306475
342,5374,3253.135070159999941,3253.135070158657982
343,5375,2352.046270889999960,2352.046270892713892
344,5376,746.010705500999961,746.010705500856488
345,5377,1895.606966190000094,1895.606966187152011
346,5378,4426.876561289999700,4426.876561285651405
347,5379,6723.725058039999567,6723.725058044700745
348,5380,1781.546581410000044,1781.546581413459762
349,5381,1993.896866829999908,1993.896866834623552
350,5382,746.728673908000019,746.728673908325504
351,5383,469.911414273999981,469.911414273768912
352,5384,640.897219528000051,640.897219527863967
353,5385,1647.050098310000067,1647.050098309004625
354,5386,1238.685872660000086,1238.685872655040612
355,5387,2880.142873889999919,2880.142873893329124
356,5388,1043.309558120000020,1043.309558115545315
357,5389,1571.512643530000105,1571.512643525900103
358,5390,15099.908899599999131,15099.908899644500707
359,5391,2883.555996170000071,2883.555996170742674
360,5392,209.606908863000001,209.606908862943840
361,5393,4479.525744870000381,4479.525744871925781
362,5394,1947.888852540000016,1947.888852541887218
363,5395,361.741043740999999,361.741043741011993
364,5396,166.538583727999992,166.538583727771879
365,5397,250.821534248000006,250.821534247810945
366,5398,478.179685989000006,478.179685988535539
367,5399,3780.846950159999778,3780.846950157460469
368,5400,636.857446403000040,636.857446402649316
369,5401,1277.085540840000021,1277.085540841650072
370,5402,2286.779695440000069,2286.779695444854042
371,5404,2598.591537559999779,2598.591537560967026
372,5405,1467.767287890000034,1467.767287887372277
373,5406,1522.370064039999988,1522.370064036183976
374,5407,383.099286967000012,383.099286966979435
375,5408,694.622372795000047,694.622372794747321
376,5409,5789.737494830000287,5789.737494833287201
377,5410,26139.872438900001725,26139.872438946284092
378,5411,3724.656343440000001,3724.656343439336979
379,5412,962.796182147999957,962.796182147974719
380,5413,137.580993532000008,137.580993532268792
381,5414,49.789199810299998,49.789199810315424
382,5415,148.669873781000007,148.669873780679950
383,5416,142.841143984000013,142.841143984414401
384,5417,604.927371010000002,604.927371010286947
385,5418,2879.172713420000036,2879.172713416782699
386,5419,2185.160693790000096,2185.160693794417057
387,5420,8393.408739390000846,8393.408739390866685
388,5421,6761.981897159999789,6761.981897160273547
389,5422,2276.312206980000155,2276.312206976884227
390,5423,3997.705627509999886,3997.705627509498299
391,5424,1182.493706340000017,1182.493706339465234
392,5425,3512.771727169999849,3512.771727169348651
393,5426,1611.608065679999982,1611.608065680951540
394,5427,2515.208379619999960,2515.208379622552002
395,5428,3958.437177790000078,3958.437177789829093
396,5429,5927.484977189999881,5927.484977189575147
397,5430,2376.816943559999800,2376.816943564794201
398,5431,822.595724973999950,822.595724973503934
399,5432,314.448888506999992,314.448888506886419
400,5433,83.733430786699998,83.733430786663064
401,5434,10636.553836499999306,10636.553836463102925
402,5435,89.468337743199996,89.468337743195292
403,5436,120.491715812999999,120.491715812871448
404,5437,305.528077075999988,305.528077075702242
405,5438,110.202267742000004,110.202267742203645
406,5439,31.093994027299999,31.093994027327547
407,5440,57.516872948299998,57.516872948303053
408,5403,4547.377361820000260,4547.377361815700169
409,5441,1210.179605660000107,1210.179605663390248
410,5442,365.734303096000019,365.734303095846315
411,5443,2987.291310049999993,2987.291310053280540
412,5444,1161.248217020000084,1161.248217016453509
413,5445,1453.336927090000017,1453.336927091786265
414,5446,5809.754253789999893,5809.754253792300005
415,5447,2333.618827419999889,2333.618827419023091
416,5448,2002.518351230000007,2002.518351234852162
417,5449,2438.077617039999950,2438.077617036712127
418,5450,1138.840038000000050,1138.840038001180801
419,5452,1630.146330779999971,1630.146330778189395
420,5453,549.477565002999995,549.477565002635629
421,5454,662.215563914999962,662.215563914721201
422,5455,716.166452337999999,716.166452338161434
423,5456,4937.681169569999838,4937.681169570848397
424,5457,1191.753839629999902,1191.753839627175921
425,5458,3772.477147600000080,3772.477147603824505
426,5459,1599.862150519999886,1599.862150524651497
427,5461,11699.692998300000909,11699.692998259199157
428,5462,13603.876292099999773,13603.876292094726523
429,5463,20865.465917699999409,20865.465917654291843
430,5464,4058.605596039999909,4058.605596039448756
431,5465,5616.939534119999735,5616.939534117806943
432,5466,10343.230401400000119,10343.230401363185592
433,5467,9855.727874300000622,9855.727874295625952
434,5469,1039.257438529999945,1039.257438527024988
435,5470,916.866297385000053,916.866297385031089
436,5471,451.924072415000012,451.924072414941691
437,5468,1124.225721499999963,1124.225721501931503
438,5472,3017.074471580000136,3017.074471575116604
439,5473,701.311846099000036,701.311846099270383
440,5474,1599.881565639999963,1599.881565640069311
441,5475,714.715628126999945,714.715628127110449
442,5476,289.330061661000002,289.330061660645015
443,5477,1289.007205710000108,1289.007205708460560
444,5478,5320.877795860000333,5320.877795855787554
445,5479,366.065733412999975,366.065733413470468
446,5480,1856.455235379999976,1856.455235379700071
447,5451,482.702476767000007,482.702476766984489
448,5460,3281.515465460000087,3281.515465455215690
449,5481,1177.916124399999944,1177.916124398552938
450,5482,1892.478039390000049,1892.478039393231484
451,5483,374.464687034000008,374.464687033533949
452,5484,724.410534723999945,724.410534723655701
453,5485,397.724352708000026,397.724352708094273
454,10200,28285.011619500000961,28285.011619456770859
455,10201,88.739350552399998,88.739350552360463
456,10202,11956.758443599999737,11956.758443606520814
457,10203,1932.942515010000079,1932.942515014515493
458,10204,2042.170023200000060,2042.170023203725577
459,10205,2897.319935619999796,2897.319935624061145
460,10206,2107.642328280000129,2107.642328275047475
461,10207,10908.851718699999765,10908.851718721325597
462,10208,14156.062264700000014,14156.062264699121442
463,10209,5999.355526790000113,5999.355526786446717
464,10210,47394.386381800002709,47394.386381847536541
465,10215,362.635749819000011,362.635749818524573
466,10216,506.514994860999991,506.514994861148921
467,10217,527.364181088000009,527.364181088263763
468,10218,412.615303770000025,412.615303769514071
469,10219,88.505603481899996,88.505603481882716
470,10220,119.843305186999999,119.843305187318506
471,74B,1917.677659469999981,1917.677659468013644
472,75B,609.197644176000040,609.197644175736400
473,10221,630.547970314000054,630.547970313787459
474,10222,1352.155974179999930,1352.155974184101069
475,76B,3346.362234730000182,3346.362234726263068
476,10223,253.889574062999998,253.889574063474356
477,10224,159.565790918999994,159.565790919275798
478,10225,630.917872826000007,630.917872825813561
479,87B,816.311275629999955,816.311275629524516
480,88B,1658.340131500000098,1658.340131500661528
481,10226,2659.323195779999878,2659.323195784979362
482,90B,1368.724404670000013,1368.724404671229422
483,91B,285.220566637999980,285.220566637587353
484,92B,756.504564987999970,756.504564987972344
485,99B,448.631630626000003,448.631630625876198
486,10227,3851.543367730000227,3851.543367726317229
487,10228,2351.451982940000107,2351.451982935474916
488,10229,1227.745273309999902,1227.745273307092702
489,10230,23627.650377000001754,23627.650376974310348
490,10231,18086.717106799998874,18086.717106813077407
491,10232,219.780223387000007,219.780223386958340
492,10233,1777.714795599999889,1777.714795603126504
493,10234,789.109922700999959,789.109922700796005
494,10235,1006.206523759999982,1006.206523762034749
495,10236,1193.747673880000093,1193.747673877870284
496,10237,3024.009629650000079,3024.009629654723540
497,10238,4295.462933650000195,4295.462933647017962
498,58B,14030.992314600000100,14030.992314566936329
499,10239,644.246451765999950,644.246451766468226
500,10240,287.428324094999994,287.428324094547463
501,10241,213.809271367000008,213.809271366533096
502,10242,3519.385971579999932,3519.385971579856687
503,10244,13760.414143199999671,13760.414143204981883
504,10243,21728.046082299999398,21728.046082285862212
505,66B,4391.418738489999669,4391.418738487787778
506,68B,1494.840568119999944,1494.840568120391026
507,10245,409.910266051999997,409.910266051553720
508,10246,480.384868375999986,480.384868376015390
509,71B,9307.124108160000105,9307.124108157851879
510,10247,286.098778838999976,286.098778838673695
511,10248,277.637887834000026,277.637887834134574
512,10249,990.617894203999981,990.617894204433696
513,10250,634.882793788999948,634.882793789372158
514,72B,5428.478162389999852,5428.478162386000804
515,10251,2110.486810590000005,2110.486810588396111
516,10252,742.523140519999970,742.523140520071138
517,10253,1443.981190239999933,1443.981190236173006
518,10254,839.787677250999991,839.787677251364357
519,81B,3214.612222860000202,3214.612222864417163
520,82B,2129.160514820000117,2129.160514823688573
521,83B,3151.222547180000220,3151.222547179453159
522,84B,1162.509089800000083,1162.509089804055748
523,102B,1321.422571349999998,1321.422571353960166
524,10255,317.680047037999998,317.680047038484929
525,10256,444.813036255999975,444.813036255554380
526,10257,874.604936757000019,874.604936756570737
527,10258,511.587468177000005,511.587468176907464
528,10259,3359.525289040000189,3359.525289041446740
529,10260,406.306214864000026,406.306214863938692
530,10261,1558.930207840000094,1558.930207836544923
531,10262,453.783025287999976,453.783025288447448
532,10263,267.780279467000014,267.780279467484888
533,10264,213.590994292999994,213.590994293240954
534,10265,289.607484924999994,289.607484925087419
535,10266,285.746059177999996,285.746059177695429
536,10267,191.755781062000011,191.755781062140301
537,10268,109.672855581999997,109.672855581896371
538,10269,426.742065545000003,426.742065545217429
539,134B,689.589282421000007,689.589282420541053
540,10270,1016.127826580000033,1016.127826580708074
541,10271,541.175967873999980,541.175967874323533
542,10272,186.170078891999992,186.170078891807208
543,10273,516.188785566999968,516.188785567096488
544,10274,361.851000901000020,361.851000901418445
545,10275,142.897200948000005,142.897200947553017
546,10276,354.403545786999985,354.403545786559562
547,10277,2087.200434429999859,2087.200434434538693
548,10278,1312.918360030000031,1312.918360032506598
549,10279,256.903215406000015,256.903215406416848
550,10280,418.112369392999994,418.112369393125391
551,10281,599.660488409999971,599.660488409784080
552,10282,294.131956859000013,294.131956858539638
553,10283,1920.491238719999956,1920.491238717008855
554,10284,514.147519602999978,514.147519602600028
555,10285,327.363706050000019,327.363706049745076
556,10286,294.250986002999980,294.250986003150103
557,10287,245.534652088000001,245.534652087997728
558,10288,708.223348976000011,708.223348976162583
559,10289,1905.839403830000037,1905.839403829473440
560,10290,1602.481281789999912,1602.481281792543314
561,10291,90.933202613899994,90.933202613888696
562,10292,137.837374471000004,137.837374470527777
563,10293,313.913859085000013,313.913859084678336
564,10294,291.373838322999973,291.373838322752022
565,10295,2266.586623300000156,2266.586623300398514
566,10296,322.196899034000012,322.196899033952718
567,10297,488.824516248000009,488.824516248100110
568,146B,914.167586431308109,913.662829284818713
569,10298,291.393521992370097,291.231753269532476
570,10299,167.388895621082384,167.295959562017657
571,10300,0.000000000000000,196.469194523167090
572,10301,0.000000000000000,468.395822657192468
573,147B,0.000000000000000,464.377690684765071
574,148B,0.000000000000000,704.731092882205417
575,149B,0.000000000000000,608.003941560398516
576,10302,0.000000000000000,1538.143988141510135
577,12,1124.630080550000002,1124.630080554105916
578,2,436.745242797999992,436.745242798172001
579,3,650.000000000000000,650.370864758846437
580,6,372.000000000000000,371.663999733703918
581,7,14.500000000000000,14.542731281233239
582,8,23.800000000000001,23.800964510276611
583,9,44.500000000000000,44.511325257296228
584,10,23.000000000000000,23.310433394339718
585,11,96.000000000000000,95.763561606986457
586,14,246.000000000000000,245.516195123266954
587,15,171.000000000000000,170.884737071398945
588,17,335.000000000000000,305.593383055971231
589,21,76.000000000000000,75.799133850805774
590,22,202.000000000000000,201.607899991274621
591,1,346.000000000000000,346.472408869881519
592,4,130.000000000000000,129.863321454424778
593,5,58.000000000000000,57.711051102582481
594,13,153.000000000000000,152.548108285133594
595,16,71.000000000000000,71.223893425184016
596,18,277.000000000000000,277.229398514420097
597,20,644.000000000000000,644.266183575686341
598,24,1522.000000000000000,1522.442915904715619
599,25,1691.000000000000000,1691.371793421252505
600,26,456.000000000000000,456.018174904244574
601,29,50.000000000000000,49.929789914700052
602,30,432.000000000000000,432.304589866795993
603,32,1040.000000000000000,1040.429506673803189
604,33,187.000000000000000,186.983928275997300
605,34,419.000000000000000,418.607547779209824
606,35,422.000000000000000,421.527421520902010
607,39,258.000000000000000,258.034833992921961
608,43,1246.000000000000000,1245.679843874483140
609,19,118.000000000000000,118.063038739200863
610,44,612.000000000000000,612.080842619635746
611,48,696.000000000000000,895.674553158832850
612,50,483.000000000000000,482.527611202265746
613,47,174.000000000000000,174.468495590145125
614,51,394.000000000000000,393.715062224114774
615,40,154.000000000000000,153.885006332721758
616,41,245.000000000000000,245.212812629029315
617,53,386.000000000000000,836.484893005790354
618,54,6004.000000000000000,6004.007999651127648
619,55,23890.000000000000000,23890.246235013230034
620,56,2512.000000000000000,2512.527132989738220
621,57,7777.000000000000000,7776.927991172770817
622,59,190.000000000000000,189.819861098441578
623,60,1129.000000000000000,1129.271122000366404
624,61,93.000000000000000,93.085413430810547
625,62,62.000000000000000,61.573156644838932
626,63,74.000000000000000,73.797642489545808
627,64,352.000000000000000,352.200496008608980
628,65,1936.000000000000000,1937.569768139288271
629,67,794.000000000000000,794.152525267327633
630,70,1180.000000000000000,1178.465571391684307
631,69,461.000000000000000,461.902128243007326
632,73,818.000000000000000,818.444693961672328
633,77,3323.000000000000000,3323.038808621126918
634,78,1070.000000000000000,1070.053626571225777
635,79,345.000000000000000,345.692529325064299
636,80,1225.000000000000000,1224.803061946480739
637,85,730.000000000000000,730.409237480370507
638,86,3422.000000000000000,3422.217752448612828
639,89,506.000000000000000,505.727270570691076
640,93,118.000000000000000,117.778869123021849
641,94,4971.000000000000000,4970.843563824741977
642,95,8529.000000000000000,8528.659934051438540
643,96,369.000000000000000,369.321361814967304
644,97,480.000000000000000,479.535348363604157
645,98,1985.000000000000000,1984.632551635099844
646,100,1887.000000000000000,1887.424331251819694
647,101,497.000000000000000,496.668028478498172
648,103,562.000000000000000,561.749309634120095
649,104,528.000000000000000,528.992198868603623
650,105,1900.000000000000000,1899.951718426562138
651,106,33.000000000000000,32.999358488703820
652,107,93.000000000000000,92.672712808166906
653,109,781.000000000000000,781.458575321066633
654,110,6624.000000000000000,6623.812178269265132
655,111,3357.000000000000000,3356.852956401923620
656,112,1209.000000000000000,1208.989367448267330
657,113,301.000000000000000,301.089868208701319
658,115,1111.000000000000000,1111.182078677345089
659,116,8183.000000000000000,8183.184119676026967
660,117,1119.000000000000000,1118.665231588849338
661,118,1040.000000000000000,1039.565498943537705
662,119,3367.000000000000000,3367.460098802398079
663,120,732.000000000000000,732.368428783721015
664,132,454.000000000000000,454.636111736026237
665,133,1247.000000000000000,1247.495479299735052
666,135,690.000000000000000,689.834332605961436
667,136,710.000000000000000,709.326293363702348
668,137,415.000000000000000,414.784086465483199
669,138,398.000000000000000,398.045515757452506
670,121,7741.000000000000000,7741.040751752299911
671,122,2593.000000000000000,2593.327774289084573
672,123,897.000000000000000,896.896389013350358
673,124,1360.000000000000000,1359.954852834310032
674,125,842.000000000000000,842.007357411059388
675,126,846.000000000000000,846.270724628455810
676,127,1497.000000000000000,1497.142836654767052
677,128,705.000000000000000,704.683256286473807
678,129,181.000000000000000,181.089676433206620
679,130,265.000000000000000,264.618813183768566
680,131,5696.000000000000000,5695.965002192011525
681,139,6019.000000000000000,6109.177465172846496
682,140,796.000000000000000,795.567187074859589
683,141,4321.000000000000000,4321.315420615444054
684,142,0.000000000000000,49745.874340900918469
685,143,0.000000000000000,1894.143335416299806
686,144,0.000000000000000,33469.350091742227960
687,145,0.000000000000000,7342.114166513622877
689,147,0.000000000000000,769.198845339466516
690,148,0.000000000000000,767.987977164878544
691,149,0.000000000000000,674.808630002166751
692,150,0.000000000000000,1004.961730819198124
693,151,0.000000000000000,970.915812291942188
694,152,0.000000000000000,2475.078805223582094
695,153,0.000000000000000,130.927692032017802
696,155,0.000000000000000,5910.214149894771253
