OID_,Join_Count,TARGET_FID,gridcode,rca_id,uRCA,uRCA_int,Shape_Leng,FID_VB600_smoothed,Id,InPoly_FID,FID_RCA,gridcode_1,Join_Count_1,TARGET_FID_1,Join_Cou_1,TARGET_F_1,Dam_Type,Dam_Condit,Notes,Beaver_cre,Dam_Num,Surveyor,Dam_Cond_1,Beaver_C_1,OBJECTID_1,Shape_Leng_1,Area_m2,Notes_1,Length_m,Width_m,Dam_Num_1,Surveyor_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Le_1,Surveyed,Shape_Le_2,RECORDNUMB,ACRES,AFSNUMBER,DOFNUMBER,USFSNUMBER,ADDNUMBER,PERIMETERD,LATESTPERI,SOURCE,SOURCEMETH,SOURCECLAS,AGENCYACRE,ACREAGEMET,COMMENTS,FIREID,FIREYEAR,UPDATETIME,UPDATEUSER,USEDONFINA,FPOUTDATE,FPMERGEDDA,IRWINID,PRESCRIBED,FIRESEASON,Year,Years,Shape_Le_3,Z,Shape_Length,Shape_Area
55,,,1746,1746.000000000000000,1746,1746,6936.294511209999655,,,,,,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6936.294511207199321,168175.860835939587560
56,,,1768,1768.000000000000000,1768,1768,5443.986104859999614,,,,,,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5443.986104863166474,113478.906379419291625
57,,,1823,1823.000000000000000,1823,1823,8291.343573039999683,,,,,,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8291.343573041327545,169560.794268213590840
58,,,1831,1831.000000000000000,1831,1831,11250.453636300000653,,,,,,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11250.453636298603669,268737.078639913408551
59,,,838,838.000000000000000,838,838,7732.039570140000251,,,,,,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7732.039570139526404,122444.438465554878348
60,,,872,872.000000000000000,872,872,307.091950845999975,,,,,,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.091950846406689,4815.654935230288174
61,,,911,911.000000000000000,911,911,14457.579463500000202,,,,,,0,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14457.579463508509434,375277.240519606159069
62,,,912,912.000000000000000,912,912,5031.752963869999803,,,,,,0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5031.752963873898807,145384.111255402414827
63,,,969,969.000000000000000,969,969,2063.812000609999814,,,,,,0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063.812000614554563,36295.196150851275888
64,,,970,970.000000000000000,970,970,5985.765117189999728,,,,,,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5985.765117188193472,123247.789545613602968
65,,,975,975.000000000000000,975,975,144.958936733000002,,,,,,0,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.958936733057698,682.595840266064556
66,,,976,976.000000000000000,976,976,15583.656086900000446,,,,,,0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15583.656086874098037,329238.439049128210172
67,,,1001,1001.000000000000000,1001,1001,21356.816750099998899,,,,,,0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21356.816750128105923,460370.589649687113706
68,,,1002,1002.000000000000000,1002,1002,6025.417678380000325,,,,,,0,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6025.417678378898927,338392.176504605566151
69,,,1039,1039.000000000000000,1039,1039,11391.815518499999598,,,,,,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11391.815518522224011,340378.574313076562248
70,1,1039,1040,1040.000000000000000,1040,1040,16181.033699100000376,,,,,,2,70,0,885,Side,active, ,Y,10292,RA,Active,Y,660,66.831930869999994,137.837374471000004, ,26.000000000000000,14.000000000000000,10292,RA,{141E8B79-999E-4C01-B55A-39A164C28DB8},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,15817.479999999999563,64.010000000000005,AK,190803031402,190803031402,S,NM,190803031406,0.000000000000000,0.000000000000000,37948.312517799997295,1,37948.312517799997295, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,978.817503063000004,16181.033699078285281,1233716.093457764480263
71,,,1107,1107.000000000000000,1107,1107,17334.805530699999508,,,,,,0,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17334.805530692941829,738255.446090117795393
72,,,1108,1108.000000000000000,1108,1108,518.449229112000012,,,,,,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.449229112226249,13249.502168853241528
73,,,1126,1126.000000000000000,1126,1126,24113.908826899998530,,,,,,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24113.908826908082119,895530.456077813054435
74,,,1129,1129.000000000000000,1129,1129,5064.085856620000413,,,,,,0,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5064.085856616015008,531643.707183915539645
75,,,1157,1157.000000000000000,1157,1157,4809.536313960000371,,,,,,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4809.536313957412858,181009.917521252034931
76,,,1165,1165.000000000000000,1165,1165,7368.780272320000222,,,,,,0,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7368.780272318921561,114545.052164998429362
77,,,1173,1173.000000000000000,1173,1173,7420.768545480000284,,,,,,0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7420.768545480886132,134143.924854628392495
78,,,959,959.000000000000000,959,959,2617.434522659999857,,,,,,0,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2617.434522659680624,45960.976769063498068
79,,,960,960.000000000000000,960,960,9778.306297040000572,,,,,,0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9778.306297039214769,488975.104006228095386
80,,,974,974.000000000000000,974,974,11894.508356899999853,,,,,,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11894.508356864684174,256720.113993591803592
81,,,1011,1011.000000000000000,1011,1011,4970.436192449999908,,,,,,0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4970.436192449408736,123943.249547697923845
82,,,1012,1012.000000000000000,1012,1012,95.194917733099999,,,,,,0,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.194917733072785,411.357169655243297
83,,,1102,1102.000000000000000,1102,1102,9072.136243249999097,,,,,,0,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9072.136243246279264,427787.986820889054798
84,,,1125,1125.000000000000000,1125,1125,6727.493005190000076,,,,,,0,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6727.493005193253339,120273.635419847400044
85,,,1143,1143.000000000000000,1143,1143,2415.884417239999948,,,,,,0,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2415.884417237458365,77896.982090364719625
86,,,1151,1151.000000000000000,1151,1151,106.170549440000002,,,,,,0,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.170549440076130,489.721750002354383
87,,,1152,1152.000000000000000,1152,1152,377.448687462999999,,,,,,0,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.448687462727776,3667.106046287657591
88,,,1215,1215.000000000000000,1215,1215,8603.949664789999588,,,,,,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8603.949664792688054,290395.221425392199308
89,,,1216,1216.000000000000000,1216,1216,2124.358598159999929,,,,,,0,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.358598161824375,145446.914339521026704
90,,,1217,1217.000000000000000,1217,1217,4256.710930569999618,,,,,,0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4256.710930568840013,289506.241367668437306
91,,,1218,1218.000000000000000,1218,1218,5042.378974010000093,,,,,,0,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5042.378974005075179,201071.165901547879912
92,,,1235,1235.000000000000000,1235,1235,1383.411368799999991,,,,,,0,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1383.411368798770582,74662.586254335401463
93,,,1236,1236.000000000000000,1236,1236,2948.213617500000055,,,,,,0,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2948.213617497613996,243255.969274095550645
