OID_,Join_Count,TARGET_FID,gridcode,rca_id,uRCA,uRCA_int,Shape_Leng,FID_VB600_smoothed,Id,InPoly_FID,FID_RCA,gridcode_1,Join_Count_1,TARGET_FID_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Leng_1,Surveyed,RECORDNUMB,ACRES,AFSNUMBER,DOFNUMBER,USFSNUMBER,ADDNUMBER,PERIMETERD,LATESTPERI,SOURCE,SOURCEMETH,SOURCECLAS,AGENCYACRE,ACREAGEMET,COMMENTS,FIREID,FIREYEAR,UPDATETIME,UPDATEUSER,USEDONFINA,FPOUTDATE,FPMERGEDDA,IRWINID,PRESCRIBED,FIRESEASON,Year,Years,Shape_Le_1,Z_Mean,Avg_Slope,Shape_Le_2,Shape_Area_1,Shape_Length,Shape_Area
21,0,4,1315,1315.000000000000000,1315,1315,5054.962600169999860,,,,,,2,21,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,5054.962600172188104,253133.314023091021227
22,0,4,1316,1316.000000000000000,1316,1316,11391.279627100000653,,,,,,1,22,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,11391.279627111116497,890837.749574101413600
23,0,4,1379,1379.000000000000000,1379,1379,2603.798372679999829,,,,,,1,23,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,2603.798372679511431,130327.678637996577891
24,0,4,1380,1380.000000000000000,1380,1380,8256.008708010000191,,,,,,2,24,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,8256.008708010078408,960388.188720611855388
25,0,4,1433,1433.000000000000000,1433,1433,3541.905185420000180,,,,,,3,25,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,3541.905185418823748,337383.951023309433367
26,0,4,1434,1434.000000000000000,1434,1434,6313.590097539999988,,,,,,3,26,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,6313.590097538174632,627042.752655244548805
27,0,148,1454,1454.000000000000000,1454,1454,8312.541093829999227,,,,,,1,27,{6A207748-1933-4E90-9819-E42D9D58DA83},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,15043.989999999999782,60.880000000000003,AK,190803031407,Lower Eisenmenger Fork,S,NM,190803031509,0.000000000000000,0.000000000000000,31966.337866999998369,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,807.530451956999968,16.364094377899999,31966.337866999998369,60880888.858599998056889,8312.541093833940977,319290.796475328912493
28,0,204,1475,1475.000000000000000,1475,1475,13647.728052399999797,,,,,,1,28,{B3514153-BAB3-4DA3-8BE8-FC6ADA638A9A},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,30039.610000000000582,121.569999999999993,AK,190803031405,190803031405,S,NM,190803031407,0.000000000000000,0.000000000000000,54696.378359599999385,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1118.786704200000031,33.917406915199997,54696.378359599999385,121565985.215000003576279,13647.728052421029133,259199.313528281607432
29,0,204,1476,1476.000000000000000,1476,1476,3622.082124340000064,,,,,,1,29,{B3514153-BAB3-4DA3-8BE8-FC6ADA638A9A},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,30039.610000000000582,121.569999999999993,AK,190803031405,190803031405,S,NM,190803031407,0.000000000000000,0.000000000000000,54696.378359599999385,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1118.786704200000031,33.917406915199997,54696.378359599999385,121565985.215000003576279,3622.082124341561666,188324.973877347860252
30,0,204,1511,1511.000000000000000,1511,1511,360.163110792999987,,,,,,1,30,{B3514153-BAB3-4DA3-8BE8-FC6ADA638A9A},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,30039.610000000000582,121.569999999999993,AK,190803031405,190803031405,S,NM,190803031407,0.000000000000000,0.000000000000000,54696.378359599999385,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1118.786704200000031,33.917406915199997,54696.378359599999385,121565985.215000003576279,360.163110793212468,3489.381837735725185
