OID_,uRCA,uRCA_Area_km2,Fire_Event_ID,Fire_Event_Area_in_uRCA_km2,Fire_Event_Area_Percent_of_uRCA,Fire_Event_Ignition_Date,BS1_AreaKm2,BS2_AreaKm2,BS3_AreaKm2,BS4_AreaKm2,BS_sum_AreaKm2,DNBR_MEAN,RDNBR_MEAN
704,3855,0.155248186924036,0.000000000000000,0.155248224030164,100.000004214628063,20110530.000000000000000,0.028800000000000,0.017100000000000,0.012600000000000,0.009000000000000,0.067500000000000,112.859154929577485,153.422535211267586
705,3856,0.047464528511154,0.000000000000000,0.047464518823851,100.000001807843859,20110530.000000000000000,0.000000000000000,0.000900000000000,0.009000000000000,0.019800000000000,0.029700000000000,604.675675675675620,760.459459459459481
706,3866,0.371354074401224,0.000000000000000,0.076087426608785,20.489184353398432,20150621.000000000000000,0.000000000000000,0.082800000000000,0.012600000000000,0.000000000000000,0.095400000000000,314.678160919540232,343.643678160919592
707,3894,1.608067940667138,0.000000000000000,0.519896533428811,32.330509273299043,20040717.000000000000000,0.244800000000000,0.270000000000000,0.050400000000000,0.000000000000000,0.565200000000000,265.103386809269182,95.270944741532958
708,3900,1.004341315015670,0.000000000000000,0.022784056756771,2.268557043829367,20110530.000000000000000,0.014400000000000,0.003600000000000,0.000900000000000,0.000000000000000,0.018900000000000,-78.777777777777771,-96.611111111111128
709,3927,0.225512114244450,0.000000000000000,0.185407201729910,82.216065824637582,20110530.000000000000000,0.040500000000000,0.027900000000000,0.003600000000000,0.000000000000000,0.072000000000000,90.037974683544292,138.012658227848078
710,3937,0.629954319059965,0.000000000000000,0.143737097825662,22.817065220493951,20040717.000000000000000,0.144000000000000,0.018000000000000,0.000000000000000,0.000000000000000,0.162000000000000,148.090322580645164,-58.825806451612898
711,3965,0.197455634562770,0.000000000000000,0.181821874409956,92.082389203696550,20110530.000000000000000,0.064800000000000,0.025200000000000,0.001800000000000,0.000000000000000,0.091800000000000,26.129032258064520,45.817204301075279
712,4001,0.377389546294623,0.000000000000000,0.080375236462419,21.297679381460355,20040613.000000000000000,0.039600000000000,0.024300000000000,0.000000000000000,0.000000000000000,0.063900000000000,19.333333333333329,186.142857142857167
713,4063,0.322801252623582,0.000000000000000,0.300288097444426,93.025689063409914,20110530.000000000000000,0.076500000000000,0.090000000000000,0.024300000000000,0.001800000000000,0.192600000000000,130.024154589372017,187.285024154589394
714,4064,1.687179161385615,0.000000000000000,0.037851368637556,2.243470576211013,20110530.000000000000000,0.009900000000000,0.018000000000000,0.004500000000000,0.000000000000000,0.032400000000000,100.281250000000000,146.343750000000000
715,4068,0.952085982696248,0.000000000000000,0.217136937822418,22.806442858174609,20040613.000000000000000,0.076500000000000,0.108000000000000,0.017100000000000,0.000000000000000,0.201600000000000,83.415458937198082,292.570048309178731
716,4069,0.805541050734567,0.000000000000000,0.540118095034679,67.050347469406475,20020523.000000000000000,0.106200000000000,0.276300000000000,0.180000000000000,0.003600000000000,0.566100000000000,229.867003367003377,341.006734006734007
717,4070,0.825927845439899,0.000000000000000,0.084348355721368,10.212559309135822,20020523.000000000000000,0.045000000000000,0.051300000000000,0.003600000000000,0.000000000000000,0.099900000000000,44.824175824175825,110.538461538461519
718,4074,0.312297516481155,0.000000000000000,0.219783248980116,70.376230351167550,20040613.000000000000000,0.031500000000000,0.102600000000000,0.018000000000000,0.000000000000000,0.152100000000000,150.718562874251461,343.257485029940085
719,4084,0.358365822689927,0.000000000000000,0.245891497547269,68.614539656481682,20040613.000000000000000,0.061200000000000,0.076500000000000,0.017100000000000,0.000000000000000,0.154800000000000,93.835365853658530,304.475609756097640
720,4111,0.193401038040156,0.000000000000000,0.185960225359493,96.152649064173559,20110530.000000000000000,0.047700000000000,0.063000000000000,0.002700000000000,0.000900000000000,0.114300000000000,86.806201550387570,129.705426356589157
