"","uRCA","Dams_Per_Basin","Burned_n","Pond_Area_m2_mean","Main_n","Side_n","Off_n","Burned_numerical","Time_Since_Burn_min","Z_mean"
"188",3545,1,1,2087.419,1,1,1,0,NA,279.045
"189",3566,1,1,33469.35,1,1,1,0,NA,129.282
"190",3574,1,1,798.175,1,1,1,0,NA,312.625
"191",3575,1,1,1206.731,1,1,1,0,NA,245.623
"192",3577,2,2,5455.232,2,2,2,0,NA,248.241
"193",3592,4,4,4115.798,4,4,4,0,NA,251.308
"194",3595,1,1,537.193,1,1,1,1,34,331.328
"195",3596,1,1,936.737,1,1,1,0,NA,286.812
"196",3649,3,3,3371.109,3,3,3,0,NA,255.807
"197",3696,3,3,5319.879,3,3,3,1,13,262.269
"198",3697,1,1,10817.712,1,1,1,0,NA,257.835
"199",3699,2,2,2191.162,2,2,2,0,NA,265.024
"200",3704,1,1,2909.928,1,1,1,1,13,262
"201",3717,11,11,4012.481,11,11,11,1,13,263.714
"202",3729,2,2,1636.398,2,2,2,0,NA,274.289
"203",3744,4,4,5133.614,4,4,4,1,-4,282.823
"204",3745,4,4,3368.426,4,4,4,0,NA,266.428
"205",3752,1,1,1397.369,1,1,1,0,NA,589.333
"206",3765,6,6,3178.886,6,6,6,1,-4,285.724
"207",3782,1,1,1558.013,1,1,1,0,NA,205.562
"208",3793,2,2,640.693,2,2,2,0,NA,354.531
"209",3806,3,3,3998.898,3,3,3,1,-4,295.558
"210",3815,1,1,4388.581,1,1,1,0,NA,286.13
"211",3818,2,2,897.658,2,2,2,0,NA,234.194
"212",3821,2,2,2108.879,2,2,2,0,NA,267.112
"213",3839,4,4,3430.562,4,4,4,0,NA,299.854
"214",3841,3,3,1238.576,3,3,3,0,NA,299.494
"215",3845,1,1,1958.072,1,1,1,0,NA,314.012
"216",3846,1,1,356.623,1,1,1,1,-4,316.562
"217",3857,7,7,766.126,7,7,7,1,-4,324.546
"218",3858,2,2,322.198,2,2,2,1,-4,303.528
"219",3871,3,3,808.314,3,3,3,1,-4,332.178
"220",3900,1,1,7741.041,1,1,1,0,NA,137.048
"221",3921,3,3,328.862,3,3,3,0,NA,448.537
"222",3924,3,3,3523.913,3,3,3,0,NA,329.665
"223",3928,1,1,2593.328,1,1,1,0,NA,142.925
"224",3932,1,1,219.78,1,1,1,0,NA,153.301
"225",3936,1,1,1419.37,1,1,1,0,NA,451.257
"226",3942,1,1,985.233,1,1,1,0,NA,611.787
"227",3969,1,1,368.55,1,1,1,1,-4,344.16
"228",3992,12,12,727.36,12,12,12,1,-4,390.939
"229",4007,1,1,391.765,1,1,1,1,59,400.017
"230",4033,1,1,1777.715,1,1,1,0,NA,232.47
"231",4044,1,1,8365.953,1,1,1,0,NA,350.564
"232",4070,1,1,4903.666,1,1,1,0,NA,302.515
"233",4081,2,2,343.947,2,2,2,0,NA,388.714
"234",4089,2,2,955.086,2,2,2,0,NA,475.939
"235",4108,2,2,2418.531,2,2,2,1,59,382.451
"236",4117,1,1,5695.965,1,1,1,0,NA,174.752
"237",4120,1,1,1285.798,1,1,1,1,-4,434.726
"238",4121,1,1,896.896,1,1,1,0,NA,171.252
